key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,tarPos,targPres,numDist,targetName,correctAns,difficulty,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,a,1,0.4684,,,,,,,,0_targ_10_dist_green/trial23.png,,0,10,greenverival,a,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.131905,0,41,41,124,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.52444,,,,,,,,0_targ_16_dist_green/trial16.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.056595,0,42,42,140,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.410315,,,,,,,,0_targ_4_dist_green/trial9.png,,0,4,greenverival,a,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.155755,0,43,43,87,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.42377,,,,,,,,0_targ_4_dist_green/trial12.png,,0,4,greenverival,a,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.149765,0,44,44,90,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.39075,,,,,,,,0_targ_10_dist_green/trial2.png,,0,10,greenverival,a,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.103305,0,45,45,9,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.513545,,,,,,,,0_targ_16_dist_green/trial14.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.16156,0,46,46,138,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.506885,,,,,,,,9_dist_green/trial3.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.174415,0,47,47,35,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.422185,,,,,,,,3_dist_green/trial13.png,,1,3,greenverival,p,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.159135,0,48,48,22,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.38171,,,,,,,,3_dist_green/trial7.png,,1,3,greenverival,p,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.11682,0,49,49,16,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.664765,,,,,,,,0_targ_4_dist_green/trial24.png,,0,4,greenverival,a,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.142665,0,50,50,102,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.5051,,,,,,,,15_dist_green/trial9.png,,1,15,greenverival,p,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.12547,0,51,51,64,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.516705,,,,,,,,15_dist_green/trial6.png,,1,15,greenverival,p,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.142635,0,52,52,61,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.456355,,,,,,,,3_dist_green/trial5.png,,1,3,greenverival,p,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.081785,0,53,53,14,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.394065,,,,,,,,3_dist_green/trial20.png,,1,3,greenverival,p,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.090875,0,54,54,29,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.485525,,,,,,,,9_dist_green/trial17.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.149475,0,55,55,49,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.40465,,,,,,,,3_dist_green/trial6.png,,1,3,greenverival,p,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.082385,0,56,56,15,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.53361,,,,,,,,0_targ_16_dist_green/trial4.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.12689,0,57,57,128,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.467725,,,,,,,,15_dist_green/trial18.png,,1,15,greenverival,p,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.157415,0,58,58,73,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.56185,,,,,,,,0_targ_16_dist_green/trial15.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.12216,0,59,59,139,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.49726,,,,,,,,0_targ_4_dist_green/trial8.png,,0,4,greenverival,a,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.0742,0,60,60,86,1,,,,,,,,,,,,,,,
