key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,targPres,correctAns,difficulty,targetName,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,tarPos,numDist,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,a,1,2.114365,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.86524,0,46,46,89,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,2.137555,,,,,,,,tex_easy_TP/1.7_r=350_phi=135_seed=3.png,1,p,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,2.35345,0,47,47,24,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,2.754105,,,,,,,,tex_mid_TP/1.65_r=400_phi=45_seed=2.png,1,p,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.659965,0,48,48,74,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,2.215855,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.66657,0,49,49,90,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.922615,,,,,,,,tex_mid_TP/1.65_r=100_phi=45_seed=2.png,1,p,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.432545,0,50,50,58,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,3.246995,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.618335,0,51,51,81,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,2.135015,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,3.041245,0,52,52,118,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.998585,,,,,,,,tex_mid_TP/1.65_r=100_phi=225_seed=2.png,1,p,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.334555,0,53,53,4,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.444645,,,,,,,,tex_easy_TP/1.7_r=250_phi=135_seed=3.png,1,p,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.33421,0,54,54,17,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.78866,,,,,,,,tex_mid_TP/1.65_r=350_phi=0_seed=2.png,1,p,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.36772,0,55,55,70,1,,,,,,,,,,,,,,,,,
